ID_Libro,Fecha_Creacion,Titulo,Paginas,Tema_Principal,Tags,Nivel_Tendencia_Mercado,Herramientas_AFAP,Precio_Venta
AF-001,2025-11-25 16:47:09,Guía de Productividad Vol. 95,58,Productividad,"mañana, disciplina, hábitos",9.0,5,12.77
CB-002,2025-07-14 13:47:09,Guía de Ansiedad Vol. 30,50,Ansiedad,"mindfulness, calma, respiración, estrés, salud",8.8,3,14.42
AF-003,2025-05-16 14:47:09,Guía de Liderazgo Vol. 20,56,Liderazgo,"oficina, estrategia, management, comunicación",8.1,4,12.46
AF-004,2025-09-18 17:47:09,Guía de Productividad Vol. 49,52,Productividad,"enfoque, metas, disciplina, tiempo, hábitos",9.1,3,11.77
AF-005,2026-03-20 17:47:09,Guía de Productividad Vol. 49,58,Productividad,"disciplina, enfoque, mañana, tiempo",8.1,5,12.68
AF-006,2025-08-14 12:47:09,Guía de Ansiedad Vol. 69,57,Ansiedad,"respiración, salud, paz mental",10.0,5,14.28
AF-007,2025-10-01 21:47:09,Guía de Productividad Vol. 30,51,Productividad,"tiempo, enfoque, hábitos, disciplina",9.7,5,13.3
AF-008,2026-02-17 04:47:09,Guía de Crecimiento Personal Vol. 83,64,Crecimiento Personal,"psicología, motivación, autoestima",9.2,5,14.43
AF-009,2025-07-14 12:47:09,Guía de Crecimiento Personal Vol. 47,57,Crecimiento Personal,"resiliencia, cambio, autoestima",9.3,3,11.86
AF-010,2026-01-22 23:47:09,Guía de Productividad Vol. 50,62,Productividad,"tiempo, metas, enfoque, disciplina, hábitos",9.0,3,13.76
AF-011,2025-07-24 07:47:09,Guía de Liderazgo Vol. 15,59,Liderazgo,"equipos, management, oficina, empatía",9.6,4,14.54
AF-012,2025-10-26 00:47:09,Guía de Liderazgo Vol. 82,56,Liderazgo,"empatía, equipos, oficina",8.8,4,11.64
CB-013,2025-06-28 12:47:09,Guía de Ansiedad Vol. 73,52,Ansiedad,"salud, respiración, estrés",9.9,5,16.38
AF-014,2025-12-04 07:47:09,Guía de Finanzas Personales Vol. 22,58,Finanzas Personales,"libertad financiera, presupuesto, ahorro, dinero, inversión",8.2,5,13.5
AF-015,2025-05-23 22:47:09,Guía de Ansiedad Vol. 29,52,Ansiedad,"estrés, calma, mindfulness, paz mental",7.7,3,11.17
CB-016,2025-08-26 06:47:09,Guía de Productividad Vol. 43,52,Productividad,"mañana, enfoque, tiempo, hábitos, metas",9.2,5,15.65
AF-017,2026-03-19 18:47:09,Guía de Ansiedad Vol. 13,53,Ansiedad,"respiración, paz mental, salud, mindfulness, calma",9.6,3,12.25
CB-018,2025-08-28 17:47:09,Guía de Liderazgo Vol. 14,57,Liderazgo,"equipos, comunicación, management",7.4,3,14.16
AF-019,2025-11-14 16:47:09,Guía de Finanzas Personales Vol. 13,51,Finanzas Personales,"libertad financiera, ahorro, presupuesto, dinero, inversión",8.2,4,10.73
CB-020,2026-02-14 14:47:09,Guía de Productividad Vol. 50,58,Productividad,"enfoque, tiempo, metas, hábitos",7.6,3,15.84
AF-021,2025-08-22 03:47:09,Guía de Liderazgo Vol. 8,51,Liderazgo,"management, comunicación, equipos, oficina, empatía",9.6,3,11.69
CB-022,2025-09-06 03:47:09,Guía de Finanzas Personales Vol. 32,51,Finanzas Personales,"ahorro, presupuesto, dinero, inversión, libertad financiera",7.6,5,14.13
CB-023,2025-06-30 02:47:09,Guía de Liderazgo Vol. 59,60,Liderazgo,"oficina, management, estrategia",7.2,3,15.11
AF-024,2026-02-01 00:47:09,Guía de Ansiedad Vol. 48,59,Ansiedad,"respiración, calma, paz mental",8.8,5,13.76
AF-025,2025-10-15 21:47:09,Guía de Productividad Vol. 18,58,Productividad,"hábitos, metas, mañana",7.8,5,12.42
AF-026,2026-03-15 23:47:09,Guía de Liderazgo Vol. 65,65,Liderazgo,"oficina, estrategia, management, equipos",7.1,4,14.09
CB-027,2025-11-29 19:47:09,Guía de Crecimiento Personal Vol. 71,63,Crecimiento Personal,"autoestima, resiliencia, cambio, psicología, motivación",9.5,5,17.96
CB-028,2025-11-18 10:47:09,Guía de Liderazgo Vol. 6,61,Liderazgo,"estrategia, equipos, oficina",8.1,5,17.52
AF-029,2025-09-06 20:47:09,Guía de Ansiedad Vol. 21,55,Ansiedad,"estrés, mindfulness, paz mental, calma",9.4,5,13.82
AF-030,2025-07-31 03:47:09,Guía de Productividad Vol. 49,51,Productividad,"mañana, disciplina, tiempo, metas",7.9,3,10.1
AF-031,2025-05-07 18:47:09,Guía de Productividad Vol. 99,58,Productividad,"disciplina, metas, tiempo, enfoque",9.9,5,13.71
AF-032,2026-01-09 18:47:09,Guía de Liderazgo Vol. 23,58,Liderazgo,"oficina, comunicación, management",8.0,4,12.47
AF-033,2025-08-02 02:47:09,Guía de Finanzas Personales Vol. 25,58,Finanzas Personales,"presupuesto, ahorro, dinero",9.8,5,14.37
AF-034,2025-06-27 21:47:09,Guía de Liderazgo Vol. 80,60,Liderazgo,"oficina, empatía, comunicación, management, equipos",8.0,5,13.09
AF-035,2026-02-28 11:47:09,Guía de Crecimiento Personal Vol. 87,55,Crecimiento Personal,"resiliencia, psicología, motivación, autoestima, cambio",7.9,4,12.52
AF-036,2025-06-09 22:47:09,Guía de Crecimiento Personal Vol. 57,56,Crecimiento Personal,"cambio, motivación, psicología, autoestima, resiliencia",8.5,5,13.19
AF-037,2026-03-12 09:47:09,Guía de Ansiedad Vol. 26,54,Ansiedad,"estrés, mindfulness, respiración",8.8,3,11.61
CB-038,2026-01-14 05:47:09,Guía de Crecimiento Personal Vol. 64,62,Crecimiento Personal,"motivación, autoestima, cambio",9.3,3,15.9
CB-039,2026-01-07 04:47:09,Guía de Ansiedad Vol. 16,64,Ansiedad,"respiración, calma, paz mental",9.9,4,17.98
AF-040,2025-08-23 23:47:09,Guía de Finanzas Personales Vol. 58,55,Finanzas Personales,"presupuesto, libertad financiera, inversión, ahorro, dinero",9.3,5,13.12
AF-041,2025-08-10 17:47:09,Guía de Liderazgo Vol. 31,58,Liderazgo,"empatía, comunicación, oficina, management",7.5,4,12.74
AF-042,2025-05-04 09:47:09,Guía de Liderazgo Vol. 70,64,Liderazgo,"oficina, equipos, management, comunicación",9.7,5,16.04
AF-043,2025-11-09 01:47:09,Guía de Productividad Vol. 46,59,Productividad,"tiempo, metas, mañana, disciplina",7.7,4,12.62
